,0,1,2,3,4,5
0,[10 2 4 1 1 6 5 0 0 0 0 0 2 2 3 0 0 6 0 0 0 0 0 0 0],"tf.Tensor([1.5537518 0.925843  2.1134474 1.2560214 1.1878268 0.       ], shape=(6,), dtype=float32)",0.0,[10 3 4 1 1 6 5 0 0 0 0 0 2 2 3 0 0 6 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.5537518   0.925843    2.1134474   1.2560214   1.1878268   2.2686398
   2.2557995   1.2450683   0.46865353  1.3674538  -0.03596277  1.0029374
   1.1000094   1.5720265   1.1263764   1.7319927   0.11882567  0.8413152 ]], shape=(1, 18), dtype=float32)"
1,[10 3 4 1 1 6 5 0 0 0 0 0 2 2 3 0 0 6 0 0 0 0 0 0 0],[0 1 0 1 0 7],0.0,[11 1 0 0 0 0 0 4 1 1 6 5 2 2 3 0 0 6 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.4321818   0.8510254   2.18181     1.3585109   1.2551903   2.4185822
   2.2558153   1.2473224   0.65804654  1.2493601  -0.02248537  1.1060948
   1.0154935   1.5578722   1.1678144   1.8259354   0.16498764  0.9208136 ]], shape=(1, 18), dtype=float32)"
2,[11 1 0 0 0 0 0 4 1 1 6 5 2 2 3 0 0 6 0 0 0 0 0 0 0],[0 0 1 1 1 7],0.30000000000000004,[11 2 1 6 2 0 0 6 2 0 0 0 2 2 3 0 0 6 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.6873534   1.3052857   2.227033    1.5676281   2.4866216   3.6492279
   1.5886126   1.5426017   2.22143     2.2457182  -0.09468305  2.7409666
   1.0548728   2.331137    0.35864753  1.6099795   0.19829853  1.4209734 ]], shape=(1, 18), dtype=float32)"
3,[11 2 1 6 2 0 0 6 2 0 0 0 2 2 3 0 0 6 0 0 0 0 0 0 0],"tf.Tensor([1.1191809 1.4757973 2.1395855 0.9394315 2.1838    0.       ], shape=(6,), dtype=float32)",0.2,[11 3 1 6 2 6 2 0 0 0 0 0 2 2 3 0 0 6 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.1191809   1.4757973   2.1395855   0.9394315   2.1838      2.396855
   1.7697854   1.6383787   1.269523    1.8663427  -0.17253911  2.1727188
   0.87756544  1.7264006   0.43985105  1.0072051   1.0297923   1.7774599 ]], shape=(1, 18), dtype=float32)"
4,[11 3 1 6 2 6 2 0 0 0 0 0 2 2 3 0 0 6 0 0 0 0 0 0 0],[0 0 0 0 1 5],12.0,[12 1 0 0 0 0 0 5 5 1 6 2 2 2 3 0 0 12 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.5714823   1.1327338   2.362669    0.6929763   1.542945    2.207426
   2.064818    1.2839392   0.5436481   1.3436052  -0.32361954  1.4336218
   1.1555437   1.9720109   0.74904215  1.545309    0.55191296  1.2957555 ]], shape=(1, 18), dtype=float32)"
5,[12 1 0 0 0 0 0 5 5 1 6 2 2 2 3 0 0 12 0 0 0 0 0 0 0],"tf.Tensor([2.0111666 1.7475959 2.7172785 1.8619475 2.893397  0.       ], shape=(6,), dtype=float32)",0.5,[12 2 2 6 2 6 4 0 0 0 0 0 2 2 3 0 0 12 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 2.0111666   1.7475959   2.7172785   1.8619475   2.893397    4.3419194
   1.3598146   2.1414657   2.019744    2.9514358  -0.52142745  3.48393
   1.3511271   3.0794716   0.6167017   2.589682    0.0850409   1.7407141 ]], shape=(1, 18), dtype=float32)"
6,[12 2 2 6 2 6 4 0 0 0 0 0 2 2 3 0 0 12 0 0 0 0 0 0 0],"tf.Tensor([1.8090478 0.6452424 2.3256128 0.8393675 1.4954522 0.       ], shape=(6,), dtype=float32)",0.0,[12 3 2 6 2 6 4 0 0 0 0 0 2 2 3 0 0 12 0 0 0 0 0 0 0],False,"tf.Tensor(
[[1.8090478  0.6452424  2.3256128  0.8393675  1.4954522  2.9680378
  2.2982497  1.446911   1.5209956  1.9869276  0.2306432  1.4393731
  1.4105622  1.966533   0.55993503 2.0916283  0.19883122 1.2734747 ]], shape=(1, 18), dtype=float32)"
7,[12 3 2 6 2 6 4 0 0 0 0 0 2 2 3 0 0 12 0 0 0 0 0 0 0],[1 0 1 1 0 5],0.0,[13 1 0 0 0 0 0 2 6 2 6 4 2 2 3 0 0 12 0 0 0 0 0 0 0],False,"tf.Tensor(
[[1.8302804  0.5189652  2.40984    0.992467   1.5989901  3.2490566
  2.4158556  1.5178777  1.6784114  1.8049625  0.23961216 1.5373669
  1.3428736  1.8664812  0.69378245 2.2435396  0.31081444 1.3298126 ]], shape=(1, 18), dtype=float32)"
8,[13 1 0 0 0 0 0 2 6 2 6 4 2 2 3 0 0 12 0 0 0 0 0 0 0],"tf.Tensor([1.9541723 2.1091573 2.6029541 2.2178185 2.7922182 0.       ], shape=(6,), dtype=float32)",0.5,[13 2 5 3 3 2 6 0 0 0 0 0 2 2 3 0 0 12 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.9541723   2.1091573   2.6029541   2.2178185   2.7922182   4.4380913
   1.2965896   1.9244502   2.329821    3.2230203  -0.49758035  3.5918498
   1.3722621   2.9781551   0.9289333   3.036793   -0.25777754  1.6465523 ]], shape=(1, 18), dtype=float32)"
9,[13 2 5 3 3 2 6 0 0 0 0 0 2 2 3 0 0 12 0 0 0 0 0 0 0],"tf.Tensor([1.2876577 1.0307165 2.120929  1.475424  1.559391  0.       ], shape=(6,), dtype=float32)",0.0,[13 3 5 3 3 2 6 0 0 0 0 0 2 2 3 0 0 12 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.2876577  1.0307165  2.120929   1.475424   1.559391   3.3949018
   2.077549   1.6497725  2.1052368  2.1038833  0.1937334  1.6603366
   1.520127   2.0398815  0.8883859  2.630325  -0.3159032  1.6756816]], shape=(1, 18), dtype=float32)"
