,0,1,2,3,4,5
0,[10 2 2 6 1 4 5 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 14],[0 1 0 1 0 8],0.0,[10 3 2 6 1 4 5 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 14],False,"tf.Tensor(
[[3.2033722 2.72362   2.0811915 3.150186  3.0383604 4.3993897 6.507328
  5.500639  5.958754  4.980753  5.926367  5.4630513 5.333864  5.127977
  5.8556757 5.8131356 5.1019893 6.153266 ]], shape=(1, 18), dtype=float32)"
1,[10 3 2 6 1 4 5 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 14],"tf.Tensor([3.2394273 2.7423272 2.2225988 3.1667008 3.116862  1.       ], shape=(6,), dtype=float32)",0.0,[11 1 0 0 0 0 0 2 6 1 4 5 0 2 0 0 0 0 0 0 0 0 0 0 14],False,"tf.Tensor(
[[3.2394273 2.7423272 2.2225988 3.1667008 3.116862  4.4666796 6.6703014
  5.6270275 6.135874  5.1217904 6.043294  5.592735  5.4828067 5.1335692
  6.019268  5.9002433 5.220924  6.281181 ]], shape=(1, 18), dtype=float32)"
2,[11 1 0 0 0 0 0 2 6 1 4 5 0 2 0 0 0 0 0 0 0 0 0 0 14],"tf.Tensor([3.266694  2.8644536 2.5803735 3.5300574 2.8674655 1.       ], shape=(6,), dtype=float32)",0.5,[11 2 6 2 2 5 5 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 14],False,"tf.Tensor(
[[3.266694  2.8644536 2.5803735 3.5300574 2.8674655 4.015241  6.677811
  5.97214   4.923646  4.162655  5.973131  5.694223  5.8305974 5.470933
  5.538584  5.9468665 6.029812  5.3168907]], shape=(1, 18), dtype=float32)"
3,[11 2 6 2 2 5 5 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 14],"tf.Tensor([ 3.2618315  2.6305113  2.3182814  3.762168   3.329278  12.       ], shape=(6,), dtype=float32)",0.0,[11 3 6 2 2 5 5 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 14],False,"tf.Tensor(
[[3.2618315 2.6305113 2.3182814 3.762168  3.329278  4.6499443 6.8142724
  5.7061224 6.010267  5.141994  6.1261606 5.6128106 5.8030276 4.928097
  6.513752  6.244191  5.652106  7.0535355]], shape=(1, 18), dtype=float32)"
4,[11 3 6 2 2 5 5 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 14],"tf.Tensor([ 3.336743   2.6313856  2.4509807  3.7710228  3.408795  12.       ], shape=(6,), dtype=float32)",12.0,[12 1 0 0 0 0 0 6 2 2 5 5 0 2 0 0 0 0 0 0 0 0 0 0 20],False,"tf.Tensor(
[[3.336743  2.6313856 2.4509807 3.7710228 3.408795  4.7554417 7.0243793
  5.842526  6.2059503 5.2923365 6.23898   5.7277775 5.980825  4.9675393
  6.682938  6.370001  5.7782483 7.1907225]], shape=(1, 18), dtype=float32)"
5,[12 1 0 0 0 0 0 6 2 2 5 5 0 2 0 0 0 0 0 0 0 0 0 0 20],"tf.Tensor([3.355771  2.9591143 3.722326  3.9021478 2.7844725 1.       ], shape=(6,), dtype=float32)",0.5,[12 2 6 6 1 4 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 20],False,"tf.Tensor(
[[3.355771  2.9591143 3.722326  3.9021478 2.7844725 4.916392  8.03946
  6.4634156 6.255579  4.9356046 6.580319  6.5756955 7.0080247 5.534953
  7.095781  6.3436875 7.5635357 5.9903607]], shape=(1, 18), dtype=float32)"
6,[12 2 6 6 1 4 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 20],"tf.Tensor([3.4906828 3.2108345 2.9861414 3.7026896 3.7068121 1.       ], shape=(6,), dtype=float32)",0.0,[12 3 6 6 1 4 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 20],False,"tf.Tensor(
[[3.4906828 3.2108345 2.9861414 3.7026896 3.7068121 4.8954864 8.0655775
  6.5054593 7.3644347 6.6580877 6.7885585 6.418487  6.816653  5.5988245
  7.697774  7.251367  6.1196027 7.553536 ]], shape=(1, 18), dtype=float32)"
7,[12 3 6 6 1 4 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 20],"tf.Tensor([3.540041  3.2086096 3.0999134 3.7201009 3.8043475 1.       ], shape=(6,), dtype=float32)",-4.0,[13 1 0 0 0 0 0 6 6 1 4 4 0 0 0 0 0 0 0 0 0 0 0 0 20],False,"tf.Tensor(
[[3.540041  3.2086096 3.0999134 3.7201009 3.8043475 4.999934  8.254311
  6.63634   7.5708385 6.8006864 6.898999  6.4983106 6.969779  5.59733
  7.8627524 7.3408504 6.225421  7.7002063]], shape=(1, 18), dtype=float32)"
8,[13 1 0 0 0 0 0 6 6 1 4 4 0 0 0 0 0 0 0 0 0 0 0 0 20],"tf.Tensor([3.2966447 2.6090205 2.997933  3.830965  2.693483  1.       ], shape=(6,), dtype=float32)",0.5,[13 2 1 4 4 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20],False,"tf.Tensor(
[[3.2966447 2.6090205 2.997933  3.830965  2.693483  4.7018523 8.131491
  6.487862  5.5206537 4.8452897 6.236122  5.996024  6.7497625 5.735069
  6.882296  6.316238  6.9726486 6.0169034]], shape=(1, 18), dtype=float32)"
9,[13 2 1 4 4 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20],"tf.Tensor([ 2.9878583  2.5360386  2.0797005  3.1419156  2.434501  12.       ], shape=(6,), dtype=float32)",0.0,[13 3 1 4 4 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20],False,"tf.Tensor(
[[2.9878583 2.5360386 2.0797005 3.1419156 2.434501  4.3687162 6.8548765
  5.770639  6.1069946 5.6633353 6.3913355 6.1625004 5.0954466 4.969739
  6.406396  6.708735  4.3227663 7.055636 ]], shape=(1, 18), dtype=float32)"
10,[13 3 1 4 4 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20],"tf.Tensor([ 2.968883   2.4910934  2.1756146  3.1872392  2.4892695 12.       ], shape=(6,), dtype=float32)",-6.0,[14 1 0 0 0 0 0 1 4 4 2 6 0 0 0 0 0 0 0 0 0 0 0 0 17],True,"tf.Tensor(
[[2.968883  2.4910934 2.1756146 3.1872392 2.4892695 4.4655614 7.0685883
  5.8353662 6.2866936 5.7766604 6.4722567 6.2007422 5.2533107 4.970453
  6.576526  6.733205  4.457432  7.139346 ]], shape=(1, 18), dtype=float32)"
11,[1 1 0 0 0 0 0 5 5 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 3.1482885  4.283683   1.5656314  2.6720421  5.114208  11.       ], shape=(6,), dtype=float32)",0.5,[1 2 5 5 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[3.1482885 4.283683  1.5656314 2.6720421 5.114208  4.4840817 3.9181497
  3.6685703 5.200502  3.230598  4.2549286 4.0285006 5.3483014 5.232385
  4.2784925 4.506557  5.802397  4.5247636]], shape=(1, 18), dtype=float32)"
12,[1 2 5 5 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 3.9809527  4.395088   2.0723839  3.4565997  4.795794  10.       ], shape=(6,), dtype=float32)",0.0,[1 3 5 5 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[3.9809527 4.395088  2.0723839 3.4565997 4.795794  3.928366  3.176352
  4.2550035 4.7640185 3.6972342 4.453815  4.289225  5.447831  4.8288226
  4.3146987 5.5666795 5.470981  5.503265 ]], shape=(1, 18), dtype=float32)"
13,[1 3 5 5 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 4.0258036  4.3611193  2.0726497  3.5436683  4.9052253 10.       ], shape=(6,), dtype=float32)",0.0,[2 1 0 0 0 0 0 5 5 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[4.0258036 4.3611193 2.0726497 3.5436683 4.9052253 4.07573   3.3950026
  4.291293  4.8838677 3.7073753 4.574278  4.292585  5.646097  4.8707905
  4.4486833 5.7435765 5.53665   5.6940684]], shape=(1, 18), dtype=float32)"
