,0,1,2,3,4,5
0,[10 2 5 4 4 4 1 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.9033905  0.9573128  0.6725042  1.90713    1.1603174 10.       ], shape=(6,), dtype=float32)",0.0,[10 3 5 4 4 4 1 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.9033905   0.9573128   0.6725042   1.90713     1.1603174   0.68097246
   0.11013857  1.086665    0.8825196   0.01925982  0.5388248  -0.06648259
   1.5786597  -0.300161    1.4331483   2.0121531   1.1000905   1.3955213 ]], shape=(1, 18), dtype=float32)"
1,[10 3 5 4 4 4 1 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.9253238   0.98218906  0.7369612   1.911633    1.185599   10.        ], shape=(6,), dtype=float32)",0.0,[11 1 0 0 0 0 0 5 4 4 4 1 0 0 0 8 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.9253238   0.98218906  0.7369612   1.911633    1.185599    0.65394884
   0.13980871  1.1271112   0.93252265  0.02880443  0.5841352  -0.07060064
   1.6010586  -0.32336175  1.4537253   2.0395267   1.1047227   1.3654557 ]], shape=(1, 18), dtype=float32)"
2,[11 1 0 0 0 0 0 5 4 4 4 1 0 0 0 8 0 0 0 0 0 0 0 0 0],"tf.Tensor([2.1139963 1.3270037 0.5509595 1.8720543 1.3200496 7.       ], shape=(6,), dtype=float32)",0.4,[11 2 1 1 2 5 0 0 0 3 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[2.1139963  1.3270037  0.5509595  1.8720543  1.3200496  0.7698546
  0.2267926  1.0099661  1.0278052  0.03077656 0.36293384 0.1478329
  1.838204   0.23795101 1.3595977  1.6904213  1.3574557  1.4974605 ]], shape=(1, 18), dtype=float32)"
3,[11 2 1 1 2 5 0 0 0 3 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.5106678  0.7145929  0.5094037  1.5340583  0.7850388 10.       ], shape=(6,), dtype=float32)",0.0,[11 3 1 1 2 5 0 0 0 4 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.5106678   0.7145929   0.5094037   1.5340583   0.7850388   0.67569256
   0.18363798  0.7824724   0.5963196  -0.23823208  0.375123    0.07815615
   1.3258554  -0.3001535   1.1390237   1.5564686   0.97187513  1.2090892 ]], shape=(1, 18), dtype=float32)"
4,[11 3 1 1 2 5 0 0 0 4 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.6114734   0.80870086  0.6426516   1.4824024   0.8083353  10.        ], shape=(6,), dtype=float32)",0.0,[12 1 0 0 0 0 0 1 1 1 2 5 0 0 0 8 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.6114734   0.80870086  0.6426516   1.4824024   0.8083353   0.72340673
   0.2670502   0.775494    0.82683563 -0.22722831  0.3892477   0.09595169
   1.3504272  -0.2459392   1.1768959   1.4911623   1.019336    1.1806029 ]], shape=(1, 18), dtype=float32)"
5,[12 1 0 0 0 0 0 1 1 1 2 5 0 0 0 8 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.8104008   1.1288247   0.68720746  1.4668447   1.3707781  10.        ], shape=(6,), dtype=float32)",0.4,[12 2 1 5 3 4 0 0 0 3 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.8104008   1.1288247   0.68720746  1.4668447   1.3707781   0.5316903
   0.32051128  0.8956705   1.4072366   0.36120492  0.5227986  -0.05904714
   1.2972056   0.17682014  1.0949138   1.6294888   0.9041974   1.0726895 ]], shape=(1, 18), dtype=float32)"
6,[12 2 1 5 3 4 0 0 0 3 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.878641    1.0644383   0.65525913  1.5844378   1.1621178  10.        ], shape=(6,), dtype=float32)",0.0,[12 3 1 5 3 4 0 0 0 1 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.878641    1.0644383   0.65525913  1.5844378   1.1621178   0.75325286
   0.10072925  1.2194167   0.99740833 -0.16254334  0.52762496  0.16601975
   1.4971515  -0.14715852  1.1619737   1.6334056   1.2553418   1.0966226 ]], shape=(1, 18), dtype=float32)"
7,[12 3 1 5 3 4 0 0 0 1 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.8318169   1.0115716   0.62801856  1.598795    1.1927968  10.        ], shape=(6,), dtype=float32)",0.0,[13 1 0 0 0 0 0 1 5 3 3 4 0 0 0 8 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.8318169   1.0115716   0.62801856  1.598795    1.1927968   0.82956886
   0.05614724  1.2982851   1.0269339  -0.06980613  0.46639472  0.09122741
   1.4785007  -0.2317833   1.2131315   1.7298996   1.2558405   1.0852816 ]], shape=(1, 18), dtype=float32)"
8,[13 1 0 0 0 0 0 1 5 3 3 4 0 0 0 8 0 0 0 0 0 0 0 0 0],"tf.Tensor([2.336364  1.4445682 1.0486647 1.7657452 1.6090976 7.       ], shape=(6,), dtype=float32)",0.5,[13 2 1 2 1 6 4 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[2.336364   1.4445682  1.0486647  1.7657452  1.6090976  0.7157324
  0.4704849  1.2227148  1.545912   0.16981821 0.4687295  0.14728065
  1.9763588  0.2859677  1.3630786  1.7714701  1.3959517  1.331631  ]], shape=(1, 18), dtype=float32)"
9,[13 2 1 2 1 6 4 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.9650004   1.0365255   0.39607826  1.7817498   1.0779009  10.        ], shape=(6,), dtype=float32)",0.0,[13 3 1 2 1 6 4 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0],False,"tf.Tensor(
[[ 1.9650004   1.0365255   0.39607826  1.7817498   1.0779009   1.0296121
  -0.18632764  1.0310185   0.85505337 -0.21098071  0.37930214  0.15239477
   1.5410978   0.17961578  0.9304652   1.8527237   0.9684399   1.6447492 ]], shape=(1, 18), dtype=float32)"
