,0,1,2,3,4
0,[10 2 5 1 4 3 0 6 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 0 8],0.1,[10 3 5 1 4 3 6 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0],False
1,[10 3 5 1 4 3 6 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.6726682   0.16022648 -0.5436103  -0.3619086   0.0154464   5.        ], shape=(6,), dtype=float32)",12.0,[11 1 0 0 0 0 0 1 5 1 4 3 0 4 0 0 0 6 0 0 0 0 0 0 0],False
2,[11 1 0 0 0 0 0 1 5 1 4 3 0 4 0 0 0 6 0 0 0 0 0 0 0],"tf.Tensor([ 1.2852219   0.30671248  0.22810717 -0.27028245 -0.2310647   5.        ], shape=(6,), dtype=float32)",0.1,[11 2 6 0 0 0 0 0 6 5 5 2 0 4 0 0 0 6 0 0 0 0 0 0 0],False
3,[11 2 6 0 0 0 0 0 6 5 5 2 0 4 0 0 0 6 0 0 0 0 0 0 0],[ 1  1  1  0  1 10],0.30000000000000004,[11 3 6 6 5 2 0 0 0 0 3 0 0 4 0 0 0 6 0 0 0 0 0 0 0],False
4,[11 3 6 6 5 2 0 0 0 0 3 0 0 4 0 0 0 6 0 0 0 0 0 0 0],[0 1 0 1 0 1],-4.0,[12 1 0 0 0 0 0 6 6 3 6 6 0 2 0 0 0 6 0 0 0 0 0 0 0],False
5,[12 1 0 0 0 0 0 6 6 3 6 6 0 2 0 0 0 6 0 0 0 0 0 0 0],[0 0 0 0 0 7],0.0,[12 2 0 0 0 0 0 2 3 6 6 1 0 2 0 0 0 6 0 0 0 0 0 0 0],False
6,[12 2 0 0 0 0 0 2 3 6 6 1 0 2 0 0 0 6 0 0 0 0 0 0 0],[1 1 1 1 0 1],0.4,[12 3 2 3 6 6 0 0 0 0 0 5 0 2 0 0 0 6 0 0 0 0 0 0 0],False
7,[12 3 2 3 6 6 0 0 0 0 0 5 0 2 0 0 0 6 0 0 0 0 0 0 0],[1 1 0 1 1 6],0.0,[13 1 0 0 0 0 0 2 3 3 3 1 0 2 0 0 0 6 0 0 0 0 0 0 0],False
8,[13 1 0 0 0 0 0 2 3 3 3 1 0 2 0 0 0 6 0 0 0 0 0 0 0],"tf.Tensor([ 0.9339986   0.47309187  0.04096741 -0.51042545 -0.3444475   5.        ], shape=(6,), dtype=float32)",0.1,[13 2 3 0 0 0 0 0 2 1 1 3 0 2 0 0 0 6 0 0 0 0 0 0 0],False
9,[13 2 3 0 0 0 0 0 2 1 1 3 0 2 0 0 0 6 0 0 0 0 0 0 0],[ 1  1  0  1  1 12],0.30000000000000004,[13 3 3 2 1 3 0 0 0 2 0 0 0 2 0 0 0 6 0 0 0 0 0 0 0],False
10,[13 3 3 2 1 3 0 0 0 2 0 0 0 2 0 0 0 6 0 0 0 0 0 0 0],[ 1  0  0  1  1 10],0.0,[14 1 0 0 0 0 0 3 3 5 5 2 0 2 0 0 0 6 0 0 0 0 0 0 0],True
11,[1 1 0 0 0 0 0 3 6 2 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 1 0 1 8],0.30000000000000004,[1 2 6 2 4 0 0 4 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0],False
12,[1 2 6 2 4 0 0 4 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor(
[ 1.0785708e+00  5.4392064e-01  1.9623052e-02  2.7780049e-03
 -5.0119442e-01  3.0000000e+00], shape=(6,), dtype=float32)",0.1,[1 3 6 2 4 4 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0],False
13,[1 3 6 2 4 4 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 0 7],0.0,[2 1 0 0 0 0 0 3 6 2 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0],False
14,[2 1 0 0 0 0 0 3 6 2 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.48411942 -0.07117987 -0.38712284 -0.34592766 -0.10464385  3.        ], shape=(6,), dtype=float32)",0.0,[2 2 0 0 0 0 0 2 3 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0],False
15,[2 2 0 0 0 0 0 2 3 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.45382312  0.01994001 -0.38642213 -0.3259367  -0.32879037  3.        ], shape=(6,), dtype=float32)",0.0,[2 3 0 0 0 0 0 2 6 2 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0],False
16,[2 3 0 0 0 0 0 2 6 2 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.4819078   0.28295192 -0.392687   -0.1958586  -0.24457017  3.        ], shape=(6,), dtype=float32)",0.0,[3 1 0 0 0 0 0 5 4 4 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0],False
17,[3 1 0 0 0 0 0 5 4 4 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0],[ 1  1  1  0  1 10],0.4,[3 2 2 3 3 4 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0],False
18,[3 2 2 3 3 4 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.6634737   0.41273168 -0.31409025 -0.1838575  -0.204069    3.        ], shape=(6,), dtype=float32)",0.0,[3 3 2 3 3 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],False
19,[3 3 2 3 3 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.7305538   0.49524847  0.15850475  0.06877255 -0.3766386   3.        ], shape=(6,), dtype=float32)",8.0,[4 1 0 0 0 0 0 2 3 3 6 4 0 0 0 4 0 0 0 0 0 0 0 0 0],False
20,[4 1 0 0 0 0 0 2 3 3 6 4 0 0 0 4 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.86687356 -0.44852546 -0.59276015 -0.6136927   0.4113109   5.        ], shape=(6,), dtype=float32)",0.0,[4 2 0 0 0 0 0 6 2 5 5 1 0 0 0 4 0 0 0 0 0 0 0 0 0],False
21,[4 2 0 0 0 0 0 6 2 5 5 1 0 0 0 4 0 0 0 0 0 0 0 0 0],[0 0 0 0 1 8],0.1,[4 3 1 0 0 0 0 3 2 5 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0],False
22,[4 3 1 0 0 0 0 3 2 5 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0],[1 0 0 1 1 6],0.0,[5 1 0 0 0 0 0 1 4 6 6 4 0 0 0 4 0 0 0 0 0 0 0 0 0],False
23,[5 1 0 0 0 0 0 1 4 6 6 4 0 0 0 4 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.3517152  -0.2289714  -0.6244186  -0.8488841   0.34125322  5.        ], shape=(6,), dtype=float32)",0.1,[5 2 6 0 0 0 0 0 5 6 4 2 0 0 0 4 0 0 0 0 0 0 0 0 0],False
24,[5 2 6 0 0 0 0 0 5 6 4 2 0 0 0 4 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.6958001   0.56972325 -0.23435067 -0.55804497 -0.3406215   5.        ], shape=(6,), dtype=float32)",0.0,[5 3 6 0 0 0 0 0 5 1 5 3 0 0 0 4 0 0 0 0 0 0 0 0 0],False
25,[5 3 6 0 0 0 0 0 5 1 5 3 0 0 0 4 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.5914372   0.25590518  0.05222936  0.14272526 -0.36736152 10.        ], shape=(6,), dtype=float32)",0.0,[6 1 0 0 0 0 0 6 3 1 2 5 0 0 0 4 0 0 0 0 0 0 0 0 0],False
26,[6 1 0 0 0 0 0 6 3 1 2 5 0 0 0 4 0 0 0 0 0 0 0 0 0],[ 0  1  1  1  0 10],0.30000000000000004,[6 2 6 1 1 0 0 6 0 0 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0],False
27,[6 2 6 1 1 0 0 6 0 0 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0],[0 1 0 1 1 3],0.1,[6 3 6 1 1 2 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0],False
28,[6 3 6 1 1 2 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.079117    0.6442051   0.2127359   0.43233266 -0.36804226  6.        ], shape=(6,), dtype=float32)",22.0,[7 1 0 0 0 0 0 5 6 1 1 5 0 0 0 4 0 0 11 0 0 0 0 0 0],False
29,[7 1 0 0 0 0 0 5 6 1 1 5 0 0 0 4 0 0 11 0 0 0 0 0 0],[0 1 0 0 1 2],0.2,[7 2 1 4 0 0 0 2 0 5 6 0 0 0 0 4 0 0 11 0 0 0 0 0 0],False
30,[7 2 1 4 0 0 0 2 0 5 6 0 0 0 0 4 0 0 11 0 0 0 0 0 0],"tf.Tensor([ 2.4412909   0.70256984 -0.13012867 -0.63294035 -0.76238567  5.        ], shape=(6,), dtype=float32)",0.1,[7 3 1 4 2 0 0 0 0 6 1 0 0 0 0 4 0 0 11 0 0 0 0 0 0],False
31,[7 3 1 4 2 0 0 0 0 6 1 0 0 0 0 4 0 0 11 0 0 0 0 0 0],[1 1 1 0 1 4],0.0,[8 1 0 0 0 0 0 5 1 3 3 4 0 0 0 4 0 0 11 0 0 0 0 0 0],False
32,[8 1 0 0 0 0 0 5 1 3 3 4 0 0 0 4 0 0 11 0 0 0 0 0 0],"tf.Tensor([ 1.5811344   1.1556861  -1.0810516  -0.2957732  -0.91564095  5.        ], shape=(6,), dtype=float32)",0.2,[8 2 1 1 0 0 0 0 0 3 5 4 0 0 0 4 0 0 11 0 0 0 0 0 0],False
